en,29721
de,1607
es,1004
fr,697
it,601
nl,289
ca,202
ko,174
da,168
zh-cn,154
ro,152
et,149
no,138
pt,118
sv,116
bn,97
af,92
id,85
vi,81
ja,54
cy,44
tl,40
sl,28
so,26
lt,21
pl,20
fi,19
not a language,16
cs,16
tr,14
hu,13
hr,13
lv,12
sk,10
sw,7
zh-tw,6
sq,3
ru,1
th,1
